ano,mes,mes_nome,capitulo,grupo_cid,aih
2017,1,Jan,Cap 13,Osteomuscular,16066
2017,1,Jan,Cap 14,Geniturinário,65831
2017,1,Jan,Cap 15,Materno/Perinatal,191604
2017,1,Jan,Cap 16,Perinatal,23296
2017,1,Jan,Cap 17,Congênito,6248
2017,1,Jan,Cap 18,Sintomas/Sinais,15514
2017,1,Jan,Cap 19,Lesões/Traumas,96505
2017,1,Jan,Cap 20,Causas Externas,0
2017,1,Jan,Cap 21,Fatores de Saúde,17094
2017,2,Fev,Cap 01,Infeccioso/Parasitário,64361
2017,2,Fev,Cap 02,Neoplasias,57532
2017,2,Fev,Cap 03,Sangue/Imunidade,8146
2017,2,Fev,Cap 04,Endócrino/Metabólico,18712
2017,2,Fev,Cap 05,Mental/Comportamental,23186
2017,2,Fev,Cap 06,Nervoso,14622
2017,2,Fev,Cap 07,Olho/Anexos,6853
2017,2,Fev,Cap 08,Ouvido,1489
2017,2,Fev,Cap 09,Cardiovascular,84336
2017,2,Fev,Cap 10,Respiratório,77973
2017,2,Fev,Cap 11,Digestivo,79854
2017,2,Fev,Cap 12,Pele/Subcutâneo,19520
2017,2,Fev,Cap 13,Osteomuscular,14886
2017,2,Fev,Cap 14,Geniturinário,61281
2017,2,Fev,Cap 15,Materno/Perinatal,185111
2017,2,Fev,Cap 16,Perinatal,22042
2017,2,Fev,Cap 17,Congênito,5901
2017,2,Fev,Cap 18,Sintomas/Sinais,14107
2017,2,Fev,Cap 19,Lesões/Traumas,88665
2017,2,Fev,Cap 20,Causas Externas,0
2017,2,Fev,Cap 21,Fatores de Saúde,16673
2017,3,Mar,Cap 01,Infeccioso/Parasitário,71346
2017,3,Mar,Cap 02,Neoplasias,71371
2017,3,Mar,Cap 03,Sangue/Imunidade,9229
2017,3,Mar,Cap 04,Endócrino/Metabólico,21751
2017,3,Mar,Cap 05,Mental/Comportamental,26946
2017,3,Mar,Cap 06,Nervoso,17329
2017,3,Mar,Cap 07,Olho/Anexos,9355
2017,3,Mar,Cap 08,Ouvido,1813
2017,3,Mar,Cap 09,Cardiovascular,97664
2017,3,Mar,Cap 10,Respiratório,112957
2017,3,Mar,Cap 11,Digestivo,97509
2017,3,Mar,Cap 12,Pele/Subcutâneo,23118
2017,3,Mar,Cap 13,Osteomuscular,18343
2017,3,Mar,Cap 14,Geniturinário,71358
2017,3,Mar,Cap 15,Materno/Perinatal,217257
2017,3,Mar,Cap 16,Perinatal,25774
2017,3,Mar,Cap 17,Congênito,7444
2017,3,Mar,Cap 18,Sintomas/Sinais,16227
2017,3,Mar,Cap 19,Lesões/Traumas,98175
2017,3,Mar,Cap 20,Causas Externas,0
2017,3,Mar,Cap 21,Fatores de Saúde,21096
2017,4,Abr,Cap 01,Infeccioso/Parasitário,62747
2017,4,Abr,Cap 02,Neoplasias,61676
2017,4,Abr,Cap 03,Sangue/Imunidade,8147
2017,4,Abr,Cap 04,Endócrino/Metabólico,18905
2017,4,Abr,Cap 05,Mental/Comportamental,23402
2017,4,Abr,Cap 06,Nervoso,15976
2017,4,Abr,Cap 07,Olho/Anexos,7966
2017,4,Abr,Cap 08,Ouvido,1548
2017,4,Abr,Cap 09,Cardiovascular,88533
2017,4,Abr,Cap 10,Respiratório,110353
2017,4,Abr,Cap 11,Digestivo,85760
2017,4,Abr,Cap 12,Pele/Subcutâneo,20446
2017,4,Abr,Cap 13,Osteomuscular,15824
2017,4,Abr,Cap 14,Geniturinário,62354
2017,4,Abr,Cap 15,Materno/Perinatal,205673
2017,4,Abr,Cap 16,Perinatal,24626
2017,4,Abr,Cap 17,Congênito,6231
2017,4,Abr,Cap 18,Sintomas/Sinais,14901
2017,4,Abr,Cap 19,Lesões/Traumas,92835
2017,4,Abr,Cap 20,Causas Externas,0
2017,4,Abr,Cap 21,Fatores de Saúde,18251
2017,5,Mai,Cap 01,Infeccioso/Parasitário,65701
2017,5,Mai,Cap 02,Neoplasias,71871
2017,5,Mai,Cap 03,Sangue/Imunidade,8568
2017,5,Mai,Cap 04,Endócrino/Metabólico,20438
2017,5,Mai,Cap 05,Mental/Comportamental,25284
2017,5,Mai,Cap 06,Nervoso,17287
2017,5,Mai,Cap 07,Olho/Anexos,9534
2017,5,Mai,Cap 08,Ouvido,1823
2017,5,Mai,Cap 09,Cardiovascular,99325
2017,5,Mai,Cap 10,Respiratório,126111
2017,5,Mai,Cap 11,Digestivo,97900
2017,5,Mai,Cap 12,Pele/Subcutâneo,22408
2017,5,Mai,Cap 13,Osteomuscular,18801
2017,5,Mai,Cap 14,Geniturinário,69119
2017,5,Mai,Cap 15,Materno/Perinatal,219082
2017,5,Mai,Cap 16,Perinatal,24863
2017,5,Mai,Cap 17,Congênito,7504
2017,5,Mai,Cap 18,Sintomas/Sinais,16203
2017,5,Mai,Cap 19,Lesões/Traumas,99500
2017,5,Mai,Cap 20,Causas Externas,0
2017,5,Mai,Cap 21,Fatores de Saúde,21165
2017,6,Jun,Cap 01,Infeccioso/Parasitário,60609
2017,6,Jun,Cap 02,Neoplasias,66055
2017,6,Jun,Cap 03,Sangue/Imunidade,8214
2017,6,Jun,Cap 04,Endócrino/Metabólico,19443
2017,6,Jun,Cap 05,Mental/Comportamental,24105
2017,6,Jun,Cap 06,Nervoso,16170
2017,6,Jun,Cap 07,Olho/Anexos,8997
2017,6,Jun,Cap 08,Ouvido,1631
2017,6,Jun,Cap 09,Cardiovascular,95166
2017,6,Jun,Cap 10,Respiratório,119480
2017,6,Jun,Cap 11,Digestivo,91197
2017,6,Jun,Cap 12,Pele/Subcutâneo,21323
2017,6,Jun,Cap 13,Osteomuscular,17282
2017,6,Jun,Cap 14,Geniturinário,63716
2017,6,Jun,Cap 15,Materno/Perinatal,208412
2017,6,Jun,Cap 16,Perinatal,24215
2017,6,Jun,Cap 17,Congênito,7041
2017,6,Jun,Cap 18,Sintomas/Sinais,15438
2017,6,Jun,Cap 19,Lesões/Traumas,95612
2017,6,Jun,Cap 20,Causas Externas,0
2017,6,Jun,Cap 21,Fatores de Saúde,19835
2017,7,Jul,Cap 01,Infeccioso/Parasitário,59598
2017,7,Jul,Cap 02,Neoplasias,67554
2017,7,Jul,Cap 03,Sangue/Imunidade,8061
2017,7,Jul,Cap 04,Endócrino/Metabólico,20117
2017,7,Jul,Cap 05,Mental/Comportamental,24030
2017,7,Jul,Cap 06,Nervoso,16233
2017,7,Jul,Cap 07,Olho/Anexos,10008
2017,7,Jul,Cap 08,Ouvido,1653
2017,7,Jul,Cap 09,Cardiovascular,100424
2017,7,Jul,Cap 10,Respiratório,109894
2017,7,Jul,Cap 11,Digestivo,93124
2017,7,Jul,Cap 12,Pele/Subcutâneo,21237
2017,7,Jul,Cap 13,Osteomuscular,17940
2017,7,Jul,Cap 14,Geniturinário,65987
2017,7,Jul,Cap 15,Materno/Perinatal,205325
2017,7,Jul,Cap 16,Perinatal,23676
2017,7,Jul,Cap 17,Congênito,7275
2017,7,Jul,Cap 18,Sintomas/Sinais,15617
2017,7,Jul,Cap 19,Lesões/Traumas,99380
2017,7,Jul,Cap 20,Causas Externas,0
2017,7,Jul,Cap 21,Fatores de Saúde,20249
2017,8,Ago,Cap 01,Infeccioso/Parasitário,61394
